name,full_address,postcode,council,town
"Vale of Glamorgan, UWC Atlantic, St Donat's Castle, Llantwit Major, Vale of Glamorgan, CF61 1WF","St. Donat's Castle, UWC Atlantic College, CF61 1WF",CF61 1WF,Vale of Glamorgan,St. Donats
Treorchy,"Treorchy, CF42 6AH",CF42 6AH,Rhondda Cynon Taf,Treorchy
Porth,"Ynyshir, Porth, CF39 0EG",CF39 0EG,Rhondda Cynon Taf,Porth
Llantrisant Leisure Centre Tir Meirbon Lane Southgate Park CF72 8DJ,Llantrisant Leisure Centre Tir Meirbon Lane Southgate Park CF72 8DJ,CF72 8DJ,Rhondda Cynon Taf,Llantrisant
Aberdare Park,"Aberdare Park, 9 Park Ln, Aberdare, CF44 8HN",CF44 8HN ,Rhondda Cynon Taf,Aberdare
Ynysangharad War Memorial Park,"Ynysangharad War Memorial Park, Pontypridd, CF37 4PD",CF37 4PD,Rhondda Cynon Taf,Pontypridd
"Promenade, Barry CF62 5TQ","Promenade, Barry, CF62 5TQ",CF62 5TQ,Vale of Glamorgan,Barry
Barry Town,"Barry Town, CF11 7HR",CF11 7HR,Vale of Glamorgan,Barry
"Cowbridge, Estate Office, The Lodge, Llwynhelig, Cowbridge, CF717FF","Cowbridge, Estate Office, The Lodge, Llwynhelig, Cowbridge, CF717FF",CF71 7FF,Vale of Glamorgan,Cowbridge
"St Donat's Castle UWC, Atlantic College, Llantwit Major, CF61 1WF","St Donat's Castle UWC, Atlantic College, Llantwit Major, CF61 1WF",CF61 1WF,Vale of Glamorgan,St. Donats
Barclodiad y Gawres Burial Chamber,"Barclodiad y Gawres Burial Chamber, LL63 5TE",LL63 5TE,Isle of Anglesey,Ty Croes 
Mountain Ash Town Centre,"Mountain Ash Town Centre, CF45 3AA",CF45 3AA,Rhondda Cynon Taf,Mountain Ash
"Fonmon Castle, Barry, Vale of Glamorgan, CF62 3ZN","Fonmon Castle, Barry, Vale of Glamorgan, CF62 3ZN",CF62 3ZN,Vale of Glamorgan,Fonmon 
"Hangar 872, Bro Tathan North, St Athan, CF62 4QR","Hangar 872, Bro Tathan North, St Athan, CF62 4QR",CF62 4QR,Vale of Glamorgan,St Athan
National Waterfront Museum                         Fully Booked,"National Waterfront Museum                         Fully Booked, SA1 3ST",SA1 3ST,Swansea,Swansea
"Penarth, Willmorea 1938, The Former Golf Kiosk, Cliff Parade, Penarth, CF64 5BP","Penarth, Willmorea 1938, The Former Golf Kiosk, Cliff Parade, Penarth, CF64 5BP",CF64 5BP,Vale of Glamorgan,Cardiff
"Vale Of Glamorgan, Amelia Trust Farm, Five Mile Lane, Barry, Vale Of Glamorgan, CF62 3AS","Vale Of Glamorgan, Amelia Trust Farm, Five Mile Lane, Barry, Vale Of Glamorgan, CF62 3AS",CF62 3AS,Vale of Glamorgan,Barry
"Llwynhelig, Cowbridge, Vale of Glamorgan, CF71 7FF","Llwynhelig, Cowbridge, Vale of Glamorgan, CF71 7FF",CF71 7FF,Vale of Glamorgan,Cowbridge
"Dyffryn Gardens, Dyffryn Lane, St Nicholas, CF5 6SU","Dyffryn Gardens, Dyffryn Lane, St Nicholas, CF5 6SU",CF5 6SU,Vale of Glamorgan,St. Nicholas
"The Kymin, Beach Road, Penarth, CF64 1JX","The Kymin, Beach Road, Penarth, CF64 1JX",CF64 1JX,Vale of Glamorgan,Cardiff
Bryn Celli Ddu Burial Chamber,"Bryn Celli Ddu Burial Chamber, LL61 6EQ",LL61 6EQ,Isle of Anglesey,Llanfair 
Cardiff Castle Castle Street Cardiff CF10 3RB,Cardiff Castle Castle Street Cardiff CF10 3RB,CF10 3RB,Cardiff,Cardiff
"St Donat's Castle, Llantwit Major, CF61 1WF","St Donat's Castle, Llantwit Major, CF61 1WF",CF61 1WF,Vale of Glamorgan,St Donat's
"Penarth Pier, Penarth Esplanade, CF64 3AU","Penarth Pier, Penarth Esplanade, CF64 3AU",CF64 3AU,Vale of Glamorgan,Cardiff
"UWC Atlantic College St Donat's Castle, Saint Donats, CF61 1WF, United Kingdom","St. Donat's Castle, UWC Atlantic College, CF61 1WF",CF61 1WF,Vale of Glamorgan,St Donat's
"St Donat's Castle, Llantwit Major, CF61 1WF, United Kingdom","St. Donat's Castle, UWC Atlantic College, CF61 1WF",CF61 1WF,Vale of Glamorgan,St Donat's
"Fonmon, Barry, Vale of Glamorgan, CF62 3ZN","Fonmon, Barry, Vale of Glamorgan, CF62 3ZN",CF62 3ZN,Vale of Glamorgan,Fonmon 
Neath Abbey and Gatehouse,"Neath Abbey and Gatehouse, SA10 7LE",SA10 7LE,Neath Port Talbot,Swansea
Llantwit Major & the Glamorgan Heritage Coast,"Llantwit Major & the Glamorgan Heritage Coast, CF61 2XD",CF61 2XD,Vale of Glamorgan,Llantwit Major
Barry & Barry Island,"Barry Promenade, CF62 5TQ",CF62 5TQ,Vale of Glamorgan,Barry
Cowbridge & The Rural Vale,Cowbridge,CF71 ,Vale of Glamorgan,Cowbridge
